MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,TARGET,OriginalDataSortOrder,Latitude,Longitude,StreetAddress_Full,ZipCode_Country,ZipCode_Full,ZipCode_FirstFive,ZipCode_LastFour,ZipCode_NearestApproximation
8.3252,41,6.984126984,1.023809524,322,2.555555556,4.526,1,-122.23,37.88,"Grizzly Peak Boulevard, Oakland, Contra Costa County, California, 94720-1076, USA","94720-1076, USA",94720-1076,94720,1076,-
8.3014,21,6.238137083,0.971880492,2401,2.109841828,3.585,2,-122.22,37.86,"Tunnel Road, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
7.2574,52,8.288135593,1.073446328,496,2.802259887,3.521,3,-122.24,37.85,"CA 24, Upper Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
5.6431,52,5.817351598,1.073059361,558,2.547945205,3.413,4,-122.25,37.85,"Florio Street, Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.8462,52,6.281853282,1.081081081,565,2.181467181,3.422,5,-122.25,37.85,"Florio Street, Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
4.0368,52,4.761658031,1.103626943,413,2.139896373,2.697,6,-122.25,37.85,"Florio Street, Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.6591,52,4.931906615,0.951361868,1094,2.128404669,2.992,7,-122.25,37.84,"Bryant Avenue, Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.12,52,4.797527048,1.061823802,1157,1.788253478,2.414,8,-122.25,37.84,"Bryant Avenue, Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.0804,42,4.294117647,1.117647059,1206,2.026890756,2.267,9,-122.26,37.84,"Oakland Department of Motor Vehicles, 5300, Claremont Avenue, Temescal, Oakland, Alameda County, California, 94618, USA","94618, USA",94618,94618,-,-
3.6912,52,4.970588235,0.990196078,1551,2.172268908,2.611,10,-122.25,37.84,"Bryant Avenue, Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.2031,52,5.47761194,1.07960199,910,2.263681592,2.815,11,-122.26,37.85,"Pet Food Express, Alcatraz Avenue, Idora Park, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
3.2705,52,4.772479564,1.024523161,1504,2.049046322,2.418,12,-122.26,37.85,"Pet Food Express, Alcatraz Avenue, Idora Park, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
3.075,52,5.322649573,1.012820513,1098,2.346153846,2.135,13,-122.26,37.85,"Pet Food Express, Alcatraz Avenue, Idora Park, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.6736,52,4,1.097701149,345,1.982758621,1.913,14,-122.26,37.84,"Oakland Department of Motor Vehicles, 5300, Claremont Avenue, Temescal, Oakland, Alameda County, California, 94618, USA","94618, USA",94618,94618,-,-
1.9167,52,4.262903226,1.009677419,1212,1.95483871,1.592,15,-122.26,37.85,"Pet Food Express, Alcatraz Avenue, Idora Park, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.125,50,4.242424242,1.071969697,697,2.640151515,1.4,16,-122.26,37.85,"Pet Food Express, Alcatraz Avenue, Idora Park, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.775,52,5.939577039,1.048338369,793,2.395770393,1.525,17,-122.27,37.85,"Hair Salon & Sankofa Braiding Academy, 3217, Adeline Street, Lorin, Berkeley, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.1202,52,4.052805281,0.9669967,648,2.138613861,1.555,18,-122.27,37.85,"Hair Salon & Sankofa Braiding Academy, 3217, Adeline Street, Lorin, Berkeley, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.9911,50,5.343675418,1.085918854,990,2.362768496,1.587,19,-122.26,37.84,"Oakland Department of Motor Vehicles, 5300, Claremont Avenue, Temescal, Oakland, Alameda County, California, 94618, USA","94618, USA",94618,94618,-,-
